trial,score,vs_left,action,win_probability,round,win_low,win_high,conv_low,conv_high
1,48,2,small,0.054944993546734607,1,70.0,100.0,,
1,48,3,small,0.0978975560224202,1,70.0,100.0,,
1,49,0,small,0.01653408111855375,1,70.0,100.0,,
1,49,1,small,0.030358722714170804,1,70.0,100.0,,
1,49,2,small,0.05407212592248533,1,70.0,100.0,,
1,49,3,small,0.0963496154826621,1,70.0,100.0,,
1,50,0,small,0.01783849392243214,1,70.0,100.0,,
1,50,1,small,0.03259488919206743,1,70.0,100.0,,
1,50,2,small,0.05788831933093842,1,70.0,100.0,,
1,50,3,small,0.10284350470074963,1,70.0,100.0,,
1,51,0,small,0.018744354330887756,1,70.0,100.0,,
1,51,1,small,0.034155102801968984,1,70.0,100.0,,
1,51,2,small,0.06058658760684611,1,70.0,100.0,,
1,51,3,small,0.10754311831619012,1,70.0,100.0,,
1,52,0,small,0.019310099362750244,1,70.0,100.0,,
1,52,1,small,0.03513380326377998,1,70.0,100.0,,
1,52,2,small,0.06231446587556772,1,70.0,100.0,,
1,52,3,small,0.11064740248863346,1,70.0,100.0,,
1,53,0,small,0.019590347607381185,1,70.0,100.0,,
1,53,1,small,0.03562192572740951,1,70.0,100.0,,
1,53,2,small,0.06321040276839783,1,70.0,100.0,,
1,53,3,small,0.11234880594155565,1,70.0,100.0,,
1,54,0,small,0.019635896530839223,1,70.0,100.0,,
1,54,1,small,0.03570172985943763,1,70.0,100.0,,
1,54,2,small,0.06340208745799794,1,70.0,100.0,,
1,54,3,small,0.11283192083719586,1,70.0,100.0,,
1,55,0,small,0.019491404434132595,1,70.0,100.0,,
1,55,1,small,0.03544669212803583,1,70.0,100.0,,
1,55,2,small,0.06300612495999805,1,70.0,100.0,,
1,55,3,small,0.11227248413066272,1,70.0,100.0,,
1,56,0,small,0.019195742318221517,1,70.0,100.0,,
1,56,1,small,0.034921775240986504,1,70.0,100.0,,
1,56,2,small,0.06212800591428384,1,70.0,100.0,,
1,56,3,small,0.11083672967801211,1,70.0,100.0,,
1,57,0,small,0.018782388517353827,1,70.0,100.0,,
1,57,1,small,0.034183833562844296,1,70.0,100.0,,
1,57,2,small,0.060862401465984615,1,70.0,100.0,,
1,57,3,small,0.10868075445524962,1,70.0,100.0,,
1,58,0,small,0.018279864064146504,1,70.0,100.0,,
1,58,1,small,0.03328214803604219,1,70.0,100.0,,
1,58,2,small,0.0592935668723663,1,70.0,100.0,,
1,58,3,small,0.10594976428773774,1,70.0,100.0,,
1,59,0,small,0.017712206846806192,1,70.0,100.0,,
1,59,1,small,0.03225902491527827,1,70.0,100.0,,
1,59,2,small,0.05749579285463457,1,70.0,100.0,,
1,59,3,small,0.10277716762522643,1,70.0,100.0,,
1,60,0,small,0.01709948271124399,1,70.0,100.0,,
1,60,1,small,0.03115042551455073,1,70.0,100.0,,
1,60,2,small,0.055533880099651975,1,70.0,100.0,,
1,60,3,small,0.09928350971747754,1,70.0,100.0,,
1,61,0,small,0.016458257344041893,1,70.0,100.0,,
1,61,1,small,0.029986565966238794,1,70.0,100.0,,
1,61,2,small,0.05346359116633521,1,70.0,100.0,,
1,61,3,small,0.09557531803450242,1,70.0,100.0,,
1,62,0,small,0.015802030803849423,1,70.0,100.0,,
1,62,1,small,0.02879248842022742,1,70.0,100.0,,
1,62,2,small,0.0513320808727002,1,70.0,100.0,,
1,62,3,small,0.09174437469059754,1,70.0,100.0,,
1,63,0,small,0.015141636479856592,1,70.0,100.0,,
1,63,1,small,0.027588605043073734,1,70.0,100.0,,
1,63,2,small,0.04917839919423828,1,70.0,100.0,,
1,63,3,small,0.08786748854461672,1,70.0,100.0,,
1,64,0,small,0.014485606171291994,1,70.0,100.0,,
1,64,1,small,0.026391216112451175,1,70.0,100.0,,
1,64,2,small,0.04703406322070313,1,70.0,100.0,,
1,64,3,small,0.08400674318237306,1,70.0,100.0,,
1,65,0,small,0.01384050290123047,1,70.0,100.0,,
1,65,1,small,0.025213003440429694,1,70.0,100.0,,
1,65,2,small,0.044923694882812504,1,70.0,100.0,,
1,65,3,small,0.08021019812011719,1,70.0,100.0,,
1,66,0,small,0.013211223001171874,1,70.0,100.0,,
1,66,1,very_small,0.024652234824218758,1,70.0,100.0,,
1,66,2,very_small,0.044462699804687505,1,70.0,100.0,,
1,66,3,very_small,0.07874818603515626,1,70.0,100.0,,
1,67,0,small,0.012601268929687501,1,70.0,100.0,,
1,67,1,very_small,0.024810923046875006,1,70.0,100.0,,
1,67,2,very_small,0.04442883457031249,1,70.0,100.0,,
1,67,3,very_small,0.07878354589843752,1,70.0,100.0,,
1,68,0,small,0.012012994218750002,1,70.0,100.0,,
1,68,1,very_small,0.02469435937500001,1,70.0,100.0,,
1,68,2,very_small,0.044282746093750006,1,70.0,100.0,,
1,68,3,very_small,0.07865048828125001,1,70.0,100.0,,
1,69,0,small,0.011447821875,1,70.0,100.0,,
1,69,1,small,0.020593707812500008,1,70.0,100.0,,
1,69,2,small,0.036614773437500005,1,70.0,100.0,,
1,69,3,small,0.0653908046875,1,70.0,100.0,,
1,70,0,small,0.009255421875000001,1,70.0,100.0,,
1,70,1,small,0.016733593750000005,1,70.0,100.0,,
1,70,2,small,0.029911562500000006,1,70.0,100.0,,
1,70,3,small,0.05376323632812499,1,70.0,100.0,,
1,71,0,small,0.0074143125000000025,1,70.0,100.0,,
1,71,1,small,0.013468359375,1,70.0,100.0,,
1,71,2,small,0.024187187500000006,1,70.0,100.0,,
1,71,3,small,0.04368987304687499,1,70.0,100.0,,
1,72,0,small,0.005883937500000002,1,70.0,100.0,,
1,72,1,small,0.010734101562500004,1,70.0,100.0,,
1,72,2,small,0.019344812500000006,1,70.0,100.0,,
1,72,3,small,0.03505444531249998,1,70.0,100.0,,
1,73,0,small,0.004624500000000002,1,70.0,100.0,,
1,73,1,small,0.008465273437500002,1,70.0,100.0,,
1,73,2,small,0.015288750000000002,1,70.0,100.0,,
1,73,3,small,0.02773599609375001,1,70.0,100.0,,
1,74,0,small,0.0035972500000000006,1,70.0,100.0,,
1,74,1,small,0.006600484375000003,1,70.0,100.0,,
1,74,2,small,0.011927062500000002,1,70.0,100.0,,
1,74,3,small,0.021611386718750007,1,70.0,100.0,,
1,75,0,small,0.0027671875000000005,1,70.0,100.0,,
1,75,1,small,0.005083203125000001,1,70.0,100.0,,
1,75,2,small,0.009172734375000002,1,70.0,100.0,,
1,75,3,small,0.016557214843750005,1,70.0,100.0,,
1,76,0,small,0.0021030625000000003,1,70.0,100.0,,
1,76,1,small,0.003862031250000001,1,70.0,100.0,,
1,76,2,small,0.0069444531250000005,1,70.0,100.0,,
1,76,3,small,0.0124511328125,1,70.0,100.0,,
1,77,0,small,0.0015772968750000008,1,70.0,100.0,,
1,77,1,small,0.0028907812500000006,1,70.0,100.0,,
1,77,2,small,0.0051669375000000005,1,70.0,100.0,,
1,77,3,small,0.0091730703125,1,70.0,100.0,,
1,78,0,small,0.0011658281250000006,1,70.0,100.0,,
1,78,1,small,0.0021283593750000005,1,70.0,100.0,,
1,78,2,small,0.00377109375,1,70.0,100.0,,
1,78,3,small,0.006606572265625,1,70.0,100.0,,
1,79,0,small,0.0008478750000000005,1,70.0,100.0,,
1,79,1,small,0.0015385312500000008,1,70.0,100.0,,
1,79,2,small,0.002694078125,1,70.0,100.0,,
1,79,3,small,0.004640310546874999,1,70.0,100.0,,
1,80,0,small,0.0006056250000000004,1,70.0,100.0,,
1,80,1,small,0.0010896093750000003,1,70.0,100.0,,
1,80,2,small,0.0018792968750000008,1,70.0,100.0,,
1,80,3,small,0.0031697929687500015,1,70.0,100.0,,
1,81,0,small,0.0004239375000000002,1,70.0,100.0,,
1,81,1,small,0.0007541406250000004,1,70.0,100.0,,
1,81,2,small,0.0012764062500000006,1,70.0,100.0,,
1,81,3,small,0.0020992187500000004,1,70.0,100.0,,
1,82,0,small,0.00029006250000000017,1,70.0,100.0,,
1,82,1,small,0.0005085937500000004,1,70.0,100.0,,
1,82,2,small,0.0008413125000000002,1,70.0,100.0,,
1,82,3,small,0.0013429433593750003,1,70.0,100.0,,
1,83,0,small,0.00019337500000000013,1,70.0,100.0,,
1,83,1,small,0.0003330468750000002,1,70.0,100.0,,
1,83,2,small,0.0005360742187500001,1,70.0,100.0,,
1,83,3,small,0.0008264550781250001,1,70.0,100.0,,
1,84,0,small,0.00012512500000000007,1,70.0,100.0,,
1,84,1,small,0.00021087500000000007,1,70.0,100.0,,
1,84,2,small,0.00032870703125000017,1,70.0,100.0,,
1,84,3,small,0.00048686328125000005,1,70.0,100.0,,
1,85,0,small,7.820312500000004e-05,1,70.0,100.0,,
1,85,1,small,0.00012843750000000005,1,70.0,100.0,,
1,85,2,small,0.00019289062500000003,1,70.0,100.0,,
1,85,3,small,0.0002728984375,1,70.0,100.0,,
1,86,0,small,4.692187500000003e-05,1,70.0,100.0,,
1,86,1,small,7.476562500000002e-05,1,70.0,100.0,,
1,86,2,small,0.00010757812500000003,1,70.0,100.0,,
1,86,3,small,0.000144423828125,1,70.0,100.0,,
1,87,0,small,2.6812500000000008e-05,1,70.0,100.0,,
1,87,1,small,4.125000000000001e-05,1,70.0,100.0,,
1,87,2,small,5.650781250000001e-05,1,70.0,100.0,,
1,87,3,small,7.145898437500003e-05,1,70.0,100.0,,
1,88,0,small,1.4437500000000005e-05,1,70.0,100.0,,
1,88,1,small,2.132812500000001e-05,1,70.0,100.0,,
1,88,2,small,2.7617187500000006e-05,1,70.0,100.0,,
1,88,3,small,3.2675781250000004e-05,1,70.0,100.0,,
1,89,0,small,7.218750000000004e-06,1,70.0,100.0,,
1,89,1,small,1.0171875000000003e-05,1,70.0,100.0,,
1,89,2,small,1.2359375000000002e-05,1,70.0,100.0,,
1,89,3,small,1.3640625000000001e-05,1,70.0,100.0,,
1,90,0,small,3.281250000000002e-06,1,70.0,100.0,,
1,90,1,small,4.375000000000002e-06,1,70.0,100.0,,
1,90,2,small,4.960937500000001e-06,1,70.0,100.0,,
1,90,3,small,5.144531250000001e-06,1,70.0,100.0,,
1,91,0,small,1.3125000000000006e-06,1,70.0,100.0,,
1,91,1,small,1.6406250000000005e-06,1,70.0,100.0,,
1,91,2,small,1.7382812500000003e-06,1,70.0,100.0,,
1,91,3,small,1.7382812500000003e-06,1,70.0,100.0,,
1,92,0,small,4.375000000000002e-07,1,70.0,100.0,,
1,92,1,small,5.078125000000002e-07,1,70.0,100.0,,
1,92,2,small,5.117187500000002e-07,1,70.0,100.0,,
1,92,3,small,5.117187500000002e-07,1,70.0,100.0,,
1,93,0,small,1.0937500000000005e-07,1,70.0,100.0,,
1,93,1,small,1.1718750000000004e-07,1,70.0,100.0,,
1,93,2,small,1.1718750000000004e-07,1,70.0,100.0,,
1,93,3,small,1.1718750000000004e-07,1,70.0,100.0,,
1,94,0,small,1.5625000000000006e-08,1,70.0,100.0,,
1,94,1,small,1.5625000000000006e-08,1,70.0,100.0,,
1,94,2,small,1.5625000000000006e-08,1,70.0,100.0,,
1,94,3,small,1.5625000000000006e-08,1,70.0,100.0,,
1,95,0,small,0.0,1,70.0,100.0,,
1,95,1,small,0.0,1,70.0,100.0,,
1,95,2,small,0.0,1,70.0,100.0,,
1,95,3,small,0.0,1,70.0,100.0,,
1,96,0,small,0.0,1,70.0,100.0,,
1,96,1,small,0.0,1,70.0,100.0,,
1,96,2,small,0.0,1,70.0,100.0,,
1,96,3,small,0.0,1,70.0,100.0,,
1,97,0,small,0.0,1,70.0,100.0,,
1,97,1,small,0.0,1,70.0,100.0,,
1,97,2,small,0.0,1,70.0,100.0,,
1,97,3,small,0.0,1,70.0,100.0,,
1,98,0,small,0.0,1,70.0,100.0,,
1,98,1,small,0.0,1,70.0,100.0,,
1,98,2,small,0.0,1,70.0,100.0,,
1,98,3,small,0.0,1,70.0,100.0,,
1,99,0,small,0.0,1,70.0,100.0,,
1,99,1,small,0.0,1,70.0,100.0,,
1,99,2,small,0.0,1,70.0,100.0,,
1,99,3,small,0.0,1,70.0,100.0,,
1,100,0,small,0.0,1,70.0,100.0,,
1,100,1,small,0.0,1,70.0,100.0,,
1,100,2,small,0.0,1,70.0,100.0,,
1,100,3,small,0.0,1,70.0,100.0,,
2,0,0,small,0.07992513924934741,1,70.0,100.0,60,70
2,0,1,small,0.13941904494400453,1,70.0,100.0,60,70
2,0,2,small,0.23681180329733104,1,70.0,100.0,60,70
2,0,3,small,0.39683732282354517,1,70.0,100.0,60,70
2,1,0,small,0.07990632919850878,1,70.0,100.0,60,70
2,1,1,small,0.13938824443105882,1,70.0,100.0,60,70
2,1,2,small,0.2367639375934582,1,70.0,100.0,60,70
2,1,3,small,0.3967685418018447,1,70.0,100.0,60,70
2,2,0,small,0.07988356792404655,1,70.0,100.0,60,70
2,2,1,small,0.13935089613338217,1,70.0,100.0,60,70
2,2,2,small,0.2367057416735144,1,70.0,100.0,60,70
2,2,3,small,0.39668442646528007,1,70.0,100.0,60,70
2,3,0,small,0.07985620914033296,1,70.0,100.0,60,70
2,3,1,small,0.13930589506713026,1,70.0,100.0,60,70
2,3,2,small,0.23663544857045637,1,70.0,100.0,60,70
2,3,3,small,0.39658230775441417,1,70.0,100.0,60,70
2,4,0,small,0.07982343906901618,1,70.0,100.0,60,70
2,4,1,small,0.13925184201230245,1,70.0,100.0,60,70
2,4,2,small,0.23655077274027037,1,70.0,100.0,60,70
2,4,3,small,0.3964585866789252,1,70.0,100.0,60,70
2,5,0,small,0.07978430431647396,1,70.0,100.0,60,70
2,5,1,small,0.13918708952256198,1,70.0,100.0,60,70
2,5,2,small,0.23644898345237508,1,70.0,100.0,60,70
2,5,3,small,0.396308849288951,1,70.0,100.0,60,70
2,6,0,small,0.07973773994399869,1,70.0,100.0,60,70
2,6,1,small,0.13910978918082073,1,70.0,100.0,60,70
2,6,2,small,0.2363269829188475,1,70.0,100.0,60,70
2,6,3,small,0.39612799652839514,1,70.0,100.0,60,70
