round,trial,score,vs_left,best_action,win_probability
1,1,48,3,small,0.14867892756581153
1,1,49,0,small,0.054631908814073905
1,1,49,1,small,0.09163006836600875
1,1,49,2,small,0.11627941027348414
1,1,49,3,small,0.14535065934467167
1,1,50,0,small,0.07583991315626086
1,1,50,1,small,0.111076255586675
1,1,50,2,small,0.13455181930808013
1,1,50,3,small,0.16223872318540158
1,1,51,0,small,0.07412454526786748
1,1,51,1,small,0.10907943984445238
1,1,51,2,small,0.13375487627555252
1,1,51,3,small,0.16413909276585864
1,1,52,0,small,0.07212635263606428
1,1,52,1,small,0.10655576116138323
1,1,52,2,small,0.13201081966719289
1,1,52,3,small,0.1645483305359368
1,1,53,0,small,0.06991728524863264
1,1,53,1,small,0.10364794217750783
1,1,53,2,small,0.1295878825699456
1,1,53,3,small,0.16368302312946362
1,1,54,0,small,0.06756631333203109
1,1,54,1,small,0.10048841219286458
1,1,54,2,small,0.12661873488804345
1,1,54,3,small,0.1617216514923463
1,1,55,0,small,0.06513942043526771
1,1,55,1,small,0.09714829435034723
1,1,55,2,small,0.12321245584575564
1,1,55,3,small,0.15883413237366314
1,1,56,0,small,0.06267004327168353
1,1,56,1,small,0.09368520592890212
1,1,56,2,small,0.11946736866262442
1,1,56,3,small,0.1551811565761078
1,1,57,0,small,0.060186484663508136
1,1,57,1,small,0.09014900564657347
1,1,57,2,small,0.11547131836916613
1,1,57,3,small,0.15091354197724552
1,1,58,0,small,0.05771233658429346
1,1,58,1,small,0.08658231192530805
1,1,58,2,small,0.11130205916111059
1,1,58,3,small,0.1461714666896386
1,1,59,0,small,0.05526694258027948
1,1,59,1,small,0.08302108576219813
1,1,59,2,small,0.10702769027248628
1,1,59,3,small,0.141083550865132
1,1,60,0,small,0.05286589769550427
1,1,60,1,small,0.07949524536876014
1,1,60,2,small,0.10270711573570121
1,1,60,3,small,0.13576577946976856
1,1,61,0,small,0.05052150971000406
1,1,61,1,small,0.097557238520843
1,1,61,2,small,0.13466694165118864
1,1,61,3,small,0.15297664740470887
1,1,62,0,small,0.0482432235333372
1,1,62,1,small,0.09677963564485045
1,1,62,2,small,0.13139594382516478
1,1,62,3,small,0.15186060730438233
1,1,63,0,small,0.04603801050794019
1,1,63,1,small,0.0953111076081909
1,1,63,2,small,0.1267443364276123
1,1,63,3,small,0.1488679052429199
1,1,64,0,small,0.043910724293276374
1,1,64,1,small,0.09329504668041992
1,1,64,2,small,0.12107130399169921
1,1,64,3,small,0.14467045874023438
1,1,65,0,small,0.04186442492216797
1,1,65,1,small,0.09087582198730468
1,1,65,2,small,0.11470871264648437
1,1,65,3,small,0.13959548730468752
1,1,66,0,small,0.03990067254492188
1,1,66,1,small,0.08819854326171875
1,1,66,2,small,0.10783555273437499
1,1,66,3,small,0.1339067353515625
1,1,67,0,small,0.0380197923046875
1,1,67,1,small,0.08533121679687498
1,1,67,2,small,0.10059689062499999
1,1,67,3,small,0.127255421875
1,1,68,0,small,0.036221111718750004
1,1,68,1,small,0.082332734375
1,1,68,2,small,0.0977761328125
1,1,68,3,small,0.1248141796875
1,1,69,0,small,0.034503171875
1,1,69,1,small,0.0419910625
1,1,69,2,small,0.055080250000000004
1,1,69,3,small,0.078785294921875
1,1,70,0,small,0.009507109375000001
1,1,70,1,small,0.016996859375000006
1,1,70,2,small,0.030087648437500007
1,1,70,3,small,0.05379379101562498
1,1,71,0,small,0.0075182187500000015
1,1,71,1,small,0.013542437499999999
1,1,71,2,small,0.02420007031250001
1,1,71,3,small,0.04368987304687499
1,1,72,0,small,0.005910968750000002
1,1,72,1,small,0.010739460937500004
1,1,72,2,small,0.019344812500000006
1,1,72,3,small,0.03505444531249998
1,1,73,0,small,0.004624500000000002
1,1,73,1,small,0.008465273437500002
1,1,73,2,small,0.015288750000000002
1,1,73,3,small,0.02773599609375001
1,1,74,0,small,0.0035972500000000006
1,1,74,1,small,0.006600484375000003
1,1,74,2,small,0.011927062500000002
1,1,74,3,small,0.021611386718750007
1,1,75,0,small,0.0027671875000000005
1,1,75,1,small,0.005083203125000001
1,1,75,2,small,0.009172734375000002
1,1,75,3,small,0.016557214843750005
1,1,76,0,small,0.0021030625000000003
1,1,76,1,small,0.003862031250000001
1,1,76,2,small,0.0069444531250000005
1,1,76,3,small,0.0124511328125
1,1,77,0,small,0.0015772968750000008
1,1,77,1,small,0.0028907812500000006
1,1,77,2,small,0.0051669375000000005
1,1,77,3,small,0.0091730703125
1,1,78,0,small,0.0011658281250000006
1,1,78,1,small,0.0021283593750000005
1,1,78,2,small,0.00377109375
1,1,78,3,small,0.006606572265625
1,1,79,0,small,0.0008478750000000005
1,1,79,1,small,0.0015385312500000008
1,1,79,2,small,0.002694078125
1,1,79,3,small,0.004640310546874999
1,1,80,0,small,0.0006056250000000004
1,1,80,1,small,0.0010896093750000003
1,1,80,2,small,0.0018792968750000008
1,1,80,3,small,0.0031697929687500015
1,1,81,0,small,0.0004239375000000002
1,1,81,1,small,0.0007541406250000004
1,1,81,2,small,0.0012764062500000006
1,1,81,3,small,0.0020992187500000004
1,1,82,0,small,0.00029006250000000017
1,1,82,1,small,0.0005085937500000004
1,1,82,2,small,0.0008413125000000002
1,1,82,3,small,0.0013429433593750003
1,1,83,0,small,0.00019337500000000013
1,1,83,1,small,0.0003330468750000002
1,1,83,2,small,0.0005360742187500001
1,1,83,3,small,0.0008264550781250001
1,1,84,0,small,0.00012512500000000007
1,1,84,1,small,0.00021087500000000007
1,1,84,2,small,0.00032870703125000017
1,1,84,3,small,0.00048686328125000005
1,1,85,0,small,7.820312500000004e-05
1,1,85,1,small,0.00012843750000000005
1,1,85,2,small,0.00019289062500000003
1,1,85,3,small,0.0002728984375
1,1,86,0,small,4.692187500000003e-05
1,1,86,1,small,7.476562500000002e-05
1,1,86,2,small,0.00010757812500000003
1,1,86,3,small,0.000144423828125
1,1,87,0,small,2.6812500000000008e-05
1,1,87,1,small,4.125000000000001e-05
1,1,87,2,small,5.650781250000001e-05
1,1,87,3,small,7.145898437500003e-05
1,1,88,0,small,1.4437500000000005e-05
1,1,88,1,small,2.132812500000001e-05
1,1,88,2,small,2.7617187500000006e-05
1,1,88,3,small,3.2675781250000004e-05
1,1,89,0,small,7.218750000000004e-06
1,1,89,1,small,1.0171875000000003e-05
1,1,89,2,small,1.2359375000000002e-05
1,1,89,3,small,1.3640625000000001e-05
1,1,90,0,small,3.281250000000002e-06
1,1,90,1,small,4.375000000000002e-06
1,1,90,2,small,4.960937500000001e-06
1,1,90,3,small,5.144531250000001e-06
1,1,91,0,small,1.3125000000000006e-06
1,1,91,1,small,1.6406250000000005e-06
1,1,91,2,small,1.7382812500000003e-06
1,1,91,3,small,1.7382812500000003e-06
1,1,92,0,small,4.375000000000002e-07
1,1,92,1,small,5.078125000000002e-07
1,1,92,2,small,5.117187500000002e-07
1,1,92,3,small,5.117187500000002e-07
1,1,93,0,small,1.0937500000000005e-07
1,1,93,1,small,1.1718750000000004e-07
1,1,93,2,small,1.1718750000000004e-07
1,1,93,3,small,1.1718750000000004e-07
1,1,94,0,small,1.5625000000000006e-08
1,1,94,1,small,1.5625000000000006e-08
1,1,94,2,small,1.5625000000000006e-08
1,1,94,3,small,1.5625000000000006e-08
1,1,95,0,small,0.0
1,1,95,1,small,0.0
1,1,95,2,small,0.0
1,1,95,3,small,0.0
1,1,96,0,small,0.0
1,1,96,1,small,0.0
1,1,96,2,small,0.0
1,1,96,3,small,0.0
1,1,97,0,small,0.0
1,1,97,1,small,0.0
1,1,97,2,small,0.0
1,1,97,3,small,0.0
1,1,98,0,small,0.0
1,1,98,1,small,0.0
1,1,98,2,small,0.0
1,1,98,3,small,0.0
1,1,99,0,small,0.0
1,1,99,1,small,0.0
1,1,99,2,small,0.0
1,1,99,3,small,0.0
1,1,100,0,small,0.0
1,1,100,1,small,0.0
1,1,100,2,small,0.0
1,1,100,3,small,0.0
1,2,0,0,small,0.4269333378041732
1,2,0,1,small,0.4800164025667376
1,2,0,2,small,0.4965755080580978
1,2,0,3,small,0.5141837232940227
1,2,1,0,small,0.42704754320898625
1,2,1,1,small,0.48010159687196
1,2,1,2,small,0.4965958486778618
1,2,1,3,small,0.5141360425528254
1,2,2,0,small,0.42731655594983936
1,2,2,1,small,0.480223991713722
1,2,2,2,small,0.4966220173835937
1,2,2,3,small,0.5140805485880156
1,2,3,0,small,0.42772537350174733
1,2,3,1,small,0.48037985099941594
1,2,3,2,small,0.49665341299563254
1,2,3,3,small,0.5140171503789949
1,2,4,0,small,0.42826007111458503
1,2,4,1,small,0.4805657100998201
1,2,4,2,small,0.49668947837390903
1,2,4,3,small,0.513945828207841
1,2,5,0,small,0.4289077331871939
1,2,5,1,small,0.48077835846730704
1,2,5,2,small,0.4967296975869173
1,2,5,3,small,0.5138846313841504
1,2,6,0,small,0.4290669771033168
1,2,6,1,small,0.48066540708510885
1,2,6,2,small,0.4966952216094568
1,2,6,3,small,0.5140428465931491
1,2,7,0,small,0.4287096365157529
1,2,7,1,small,0.48051246962883243
1,2,7,2,small,0.49666516534811056
1,2,7,3,small,0.514321240658182
1,2,8,0,small,0.428292234687196
1,2,8,1,small,0.4803816382296885
1,2,8,2,small,0.4966394850715942
1,2,8,3,small,0.5146241297640582
1,2,9,0,small,0.4279419570271691
1,2,9,1,small,0.4802728830139133
1,2,9,2,small,0.49661811695255903
1,2,9,3,small,0.5148599431020574
1,2,10,0,small,0.42765975174900966
1,2,10,1,small,0.4801860445082233
1,2,10,2,small,0.4966009797587112
1,2,10,3,small,0.5149417352789968
1,2,11,0,small,0.4274112701589138
1,2,11,1,small,0.4801002494681439
1,2,11,2,small,0.4965772046386743
1,2,11,3,small,0.5147727586244674
1,2,12,0,small,0.4271639835651841
1,2,12,1,small,0.4799923553402621
1,2,12,2,small,0.4965330572227915
1,2,12,3,small,0.5145731731088219
1,2,13,0,small,0.4268871354197409
1,2,13,1,small,0.47983715593854814
1,2,13,2,small,0.49646405333618526
1,2,13,3,small,0.514409793677924
1,2,14,0,small,0.42655169567379486
1,2,14,1,small,0.4796080097105638
1,2,14,2,small,0.49639057051278984
1,2,14,3,small,0.5142748102455239
1,2,15,0,small,0.42613031648554317
1,2,15,1,small,0.479303126519782
1,2,15,2,small,0.4963256346344863
1,2,15,3,small,0.514155955839915
1,2,16,0,small,0.42559863017878946
1,2,16,1,small,0.4789739774035589
1,2,16,2,small,0.49627506777290825
1,2,16,3,small,0.5140372498863881
1,2,17,0,small,0.42493517851586654
1,2,17,1,small,0.4786713519986149
1,2,17,2,small,0.4963567158010363
1,2,17,3,small,0.5138997121914116
1,2,18,0,small,0.42412132530597985
1,2,18,1,small,0.47893757223056543
1,2,18,2,small,0.49653020552479643
1,2,18,3,small,0.5137434428259195
1,2,19,0,small,0.42314115286434567
1,2,19,1,small,0.47994054498149086
1,2,19,2,small,0.49669543383313935
1,2,19,3,small,0.5135705376353917
1,2,20,0,small,0.42579823387050914
1,2,20,1,small,0.48089575712522936
1,2,20,2,small,0.4968527941267994
1,2,20,3,small,0.5133829353364201
1,2,21,0,small,0.42933165130524686
1,2,21,1,small,0.4818054829764089
1,2,21,2,small,0.4970026610731423
1,2,21,3,small,0.5131824277288802
1,2,22,0,small,0.43269681076690175
1,2,22,1,small,0.4826718885489608
1,2,22,2,small,0.4971453914982307
1,2,22,3,small,0.5129706692918171
1,2,23,0,small,0.4359017245399064
1,2,23,1,small,0.483497036713296
1,2,23,2,small,0.49728132523641017
1,2,23,3,small,0.5127491861985812
1,2,24,0,small,0.43895402337133943
1,2,24,1,small,0.48428289210790093
1,2,24,2,small,0.4974107859394382
1,2,24,3,small,0.5125193847847649
1,2,25,0,small,0.44186097463937085
1,2,25,1,small,0.48503132581704844
1,2,25,2,small,0.497534081847084
1,2,25,3,small,0.5126606949103382
1,2,26,0,small,0.43225185542577443
1,2,26,1,small,0.47840637944114506
1,2,26,2,small,0.4960057020602465
1,2,26,3,small,0.5172071507731243
1,2,27,0,small,0.4215628247644738
1,2,27,1,small,0.47745372050330354
1,2,27,2,small,0.4960640401211868
1,2,27,3,small,0.5198891219588364
1,2,28,0,small,0.4199441981160594
1,2,28,1,small,0.47776501024680973
1,2,28,2,small,0.496125879541266
1,2,28,3,small,0.5206819118815841
1,2,29,0,small,0.42093640382663106
1,2,29,1,small,0.47809777869840986
1,2,29,2,small,0.4961907545718566
1,2,29,3,small,0.5195762098620398
1,2,30,0,small,0.4220156461858194
1,2,30,1,small,0.4784492743944227
1,2,30,2,small,0.4962582358817531
1,2,30,3,small,0.5165775788177852
1,2,31,0,small,0.4224416383569975
1,2,31,1,small,0.47838434866655577
1,2,31,2,small,0.4961017022379364
1,2,31,3,small,0.5113932255338796
1,2,32,0,small,0.4222182516905899
1,2,32,1,small,0.4778344727826253
1,2,32,2,small,0.4956501089051369
1,2,32,3,small,0.510581462795912
1,2,33,0,small,0.4213501725108765
1,2,33,1,small,0.4767331679042697
1,2,33,2,small,0.49508397560405987
1,2,33,3,small,0.5111422050599669
1,2,34,0,small,0.41984290075487585
1,2,34,1,small,0.4750250851508762
1,2,34,2,small,0.49492091404488225
1,2,34,3,small,0.5115751415975224
1,2,35,0,small,0.41770273272051045
1,2,35,1,small,0.47320546270414554
1,2,35,2,small,0.4950269170684146
1,2,35,3,small,0.5117788677277372
1,2,36,0,small,0.41496490404371533
1,2,36,1,small,0.47239099507909693
1,2,36,2,small,0.4952637305413473
1,2,36,3,small,0.5116631308158509
1,2,37,0,small,0.41166614525740747
1,2,37,1,small,0.4726188438997352
1,2,37,2,small,0.4954892671822355
1,2,37,3,small,0.5111489582918818
1,2,38,0,small,0.4078442611082452
1,2,38,1,small,0.4739227084759382
1,2,38,2,small,0.4957040639830814
1,2,38,3,small,0.510618055516078
1,2,39,0,small,0.40353770403166206
1,2,39,1,small,0.47516448426279834
1,2,39,2,small,0.4959086323648395
1,2,39,3,small,0.5101124338248362
1,2,40,0,small,0.408131146696821
1,2,40,1,small,0.47634712786933175
1,2,40,2,small,0.49610345939508527
1,2,40,3,small,0.509630889356987
1,2,41,0,small,0.4125058539969724
1,2,41,1,small,0.4774734551136493
1,2,41,2,small,0.4962890089477003
1,2,41,3,small,0.5091722755780828
1,2,42,0,small,0.4166722419018785
1,2,42,1,small,0.4785461477272851
1,2,42,2,small,0.4964657228073336
1,2,42,3,small,0.508735500550555
